"id_harp_rosca","bg_female","bg_married","bg_b1_age","encouragement","safe_box","locked_box","fol2_amtinvest","has_followup2"
1196,1,1,22,0,1,0,1130,1
1196,1,1,37,0,1,0,480,1
1197,1,1,30,0,1,0,113,1
1197,1,1,26,0,1,0,80,1
1197,1,1,38,0,1,0,73,1
1197,0,1,30,0,1,0,0,1
1307,0,0,32,0,0,1,1850,1
1307,1,0,48,0,0,1,105,1
1307,0,1,56,0,0,1,80,1
1307,1,1,55,0,0,1,360,1
1307,1,0,50,0,0,1,0,1
1310,0,1,28,0,0,1,53,1
1310,0,1,38,0,0,1,80,1
1310,1,1,20,0,0,1,50,1
1310,0,1,21,0,0,1,1575,1
1316,1,1,27,0,1,0,600,1
1316,1,1,26,0,1,0,1000,1
1316,1,1,55,0,1,0,985,1
1316,1,1,46,0,1,0,70,1
1324,1,1,21,0,0,1,40,1
1335,0,0,22,0,0,1,1400,1
1335,0,1,27,0,0,1,190,1
1335,1,1,49,0,0,1,NA,0
1335,1,1,40,0,0,1,0,1
1335,1,1,38,0,0,1,NA,0
1339,0,1,39,0,0,1,710,1
1339,0,1,43,0,0,1,81,1
1339,1,0,53,0,0,1,60,1
1339,0,1,52,0,0,1,105,1
1339,1,1,34,0,0,1,60,1
1339,1,1,45,0,0,1,300,1
1339,0,0,40,0,0,1,35,1
1339,0,1,35,0,0,1,0,1
1339,0,1,55,0,0,1,0,1
1339,0,1,35,0,0,1,80,1
2005,0,1,24,1,0,0,53,1
2005,1,1,28,1,0,0,NA,0
2005,1,1,55,0,0,1,53,1
2005,1,0,25,1,0,0,750,1
2005,1,1,41,1,0,0,553,1
2005,1,1,25,0,0,1,63,1
2005,1,1,27,1,0,0,626,1
2005,1,1,24,0,0,1,40,1
2005,1,0,27,1,0,0,40,1
2005,1,1,42,1,0,0,40,1
2005,1,1,33,0,0,1,40,1
2008,1,1,35,0,1,0,80,1
2008,1,0,55,0,1,0,300,1
2011,1,1,34,1,0,0,80,1
2011,1,1,46,1,0,0,20,1
2011,1,1,60,1,0,0,NA,0
2011,1,1,45,1,0,0,40,1
2011,1,1,70,1,0,0,60,1
2011,1,0,50,1,0,0,610,1
2011,1,1,54,1,0,0,80,1
2011,1,0,62,1,0,0,0,1
2011,1,0,65,1,0,0,50,1
2019,1,0,40,1,0,0,730,1
2020,1,0,64,0,1,0,740,1
2020,1,1,35,0,1,0,470,1
2020,1,1,36,0,1,0,60,1
2020,0,1,28,0,1,0,125,1
2020,1,1,30,0,1,0,60,1
2020,1,1,40,0,1,0,310,1
2020,1,1,23,0,1,0,80,1
2020,1,1,33,0,1,0,860,1
2024,1,1,36,0,0,1,NA,0
2024,0,1,34,0,0,1,550,1
2024,1,1,42,0,0,1,660,1
2024,1,1,57,0,0,1,60,1
2024,1,1,29,0,0,1,NA,0
2024,1,1,43,0,0,1,220,1
2025,1,0,33,1,0,0,80,1
2025,1,1,29,1,0,0,690,1
2025,1,0,54,1,0,0,40,1
2025,0,1,45,0,1,0,0,1
2026,0,1,78,1,0,0,80,1
2026,1,1,43,1,0,0,80,1
2026,1,1,43,1,0,0,360,1
2026,1,1,50,1,0,0,600,1
2026,0,1,69,1,0,0,510,1
2026,1,0,66,1,0,0,0,1
2026,1,1,25,1,0,0,330,1
2026,1,1,27,1,0,0,300,1
2026,1,0,49,1,0,0,0,1
2030,1,1,34,1,0,0,456,1
2030,1,1,32,1,0,0,160,1
2030,1,1,48,1,0,0,130,1
2030,1,1,28,1,0,0,0,1
2030,1,1,28,1,0,0,NA,0
2030,1,1,31,1,0,0,410,1
2030,1,1,46,1,0,0,0,1
2030,1,1,19,1,0,0,40,1
2030,1,1,28,1,0,0,120,1
2032,1,1,49,0,1,0,434,1
2032,1,1,55,0,1,0,1140,1
2032,1,1,51,0,1,0,0,1
2032,1,1,53,0,1,0,650,1
2032,1,1,29,0,1,0,360,1
2032,1,0,56,0,1,0,310,1
2032,1,1,30,0,1,0,350,1
2032,1,1,38,0,1,0,60,1
2033,0,1,35,0,0,1,320,1
2033,1,0,62,0,0,1,80,1
2033,0,1,34,0,0,1,0,1
2033,0,1,31,0,0,1,60,1
2033,0,0,19,0,0,1,250,1
2033,0,1,24,0,0,1,0,1
2033,1,1,30,0,0,1,130,1
2033,1,1,33,0,0,1,0,1
