primaryTitle,titleType,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
Three Steps Above Heaven,movie,2010,NA,118,"Action,Drama,Romance",7,23273
Kota Factory,tvSeries,2019,2019,45,"Comedy,Drama",9.1,23272
Nashville,movie,1975,NA,160,"Comedy,Drama,Music",7.7,23265
Buffalo Soldiers,movie,2001,NA,98,"Comedy,Crime,Drama",6.8,23265
Gambit,movie,2012,NA,89,"Comedy,Crime",5.7,23252
Someone Like You,movie,2001,NA,97,"Comedy,Romance",6.1,23250
Where to Invade Next,movie,2015,NA,120,"Comedy,Documentary",7.5,23249
The Angels' Share,movie,2012,NA,101,"Comedy,Crime,Drama",7,23248
Fly Away Home,movie,1996,NA,107,"Adventure,Drama,Family",6.8,23245
'Allo 'Allo!,tvSeries,1982,1992,45,"Comedy,History,War",8.3,23241
Welcome to the Rileys,movie,2010,NA,110,Drama,7,23234
Crocodile Dundee in Los Angeles,movie,2001,NA,92,"Action,Adventure,Comedy",4.8,23231
Greek,tvSeries,2007,2011,60,"Comedy,Drama",7.5,23230
The Ghost of Harrenhal,tvEpisode,2012,NA,55,"Action,Adventure,Drama",8.8,23230
Let's Go to Prison,movie,2006,NA,84,"Comedy,Crime",6,23228
Alex Rider: Operation Stormbreaker,movie,2006,NA,93,"Action,Adventure,Family",5.1,23217
An American Tail: Fievel Goes West,movie,1991,NA,75,"Adventure,Animation,Family",6.5,23213
Addicted to Love,movie,1997,NA,100,"Comedy,Romance",6.1,23211
Albert Nobbs,movie,2011,NA,113,"Drama,Romance",6.7,23200
Wrongfully Accused,movie,1998,NA,87,"Action,Comedy,Thriller",6.2,23197
Dragon Ball GT,tvSeries,1996,2002,24,"Action,Adventure,Animation",6.8,23193
Shopgirl,movie,2005,NA,106,"Drama,Romance",6.3,23170
The Whole Truth,movie,2016,NA,93,"Crime,Drama,Mystery",6.2,23163
Rage,movie,2014,NA,98,"Action,Crime,Thriller",5,23160
Fast Food Nation,movie,2006,NA,116,"Comedy,Drama",6.3,23159
Extant,tvSeries,2014,2015,42,"Drama,Sci-Fi,Thriller",6.6,23148
The Venture Bros.,tvSeries,2003,2018,22,"Action,Adventure,Animation",8.5,23126
2 States,movie,2014,NA,149,"Comedy,Drama,Romance",6.9,23122
